,booking_request_id,to_state,ending_stage,country,city,city_ok,capital,portfolio_type,floor_size_cat,price_category,time_booked,time_create_booking,after_creation,times_booked_cat
2192,177443.0,declined,declined,GB,London,london,1.0,3.0,80_100,200k_500k,13.0,206.1295453009259,sup_15j,10_15
2193,177381.0,declined,declined,GB, London,london,1.0,8.0,20_40,500k_1millions,12.0,206.09760114583332,sup_15j,10_15
2194,177334.0,declined,declined,GB,London,london,1.0,8.0,100_200,500k_1millions,11.0,205.93583729166667,sup_15j,10_15
2195,177733.0,submitted / matched / declined,declined,GB,London,london,1.0,3.0,40_60,100k_200k,14.0,207.20449998842594,sup_15j,10_15
2196,136604.0,submitted,submitted,GB,London,london,1.0,3.0,80_100,500k_1millions,10.0,2.9106522916666666,1j_3j,10_15
2197,136849.0,submitted,submitted,GB,London,london,1.0,3.0,80_100,500k_1millions,10.0,3.7809833796296295,3j_15j,10_15
2198,136855.0,submitted / matched / booked,booked,GB,London,london,1.0,3.0,80_100,500k_1millions,9.0,3.788331736111111,3j_15j,7_10
2199,165571.0,declined,declined,GB,London,london,1.0,3.0,80_100,1_5millions,23.0,202.91623975694444,sup_15j,15_30
2200,177335.0,submitted / declined,declined,GB,London,london,1.0,3.0,80_100,500k_1millions,11.0,205.94723811342593,sup_15j,10_15
2201,177832.0,submitted / declined,declined,GB,London,london,1.0,8.0,60_80,500k_1millions,14.0,207.85176368055556,sup_15j,10_15
2202,177734.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,1_5millions,13.0,207.20443233796297,sup_15j,10_15
2203,136092.0,submitted / declined,declined,GB,London,london,1.0,5.0,inf_20,100k_200k,29.0,9.722222222222222e-07,less_10s,15_30
2204,177442.0,declined,declined,GB,London,london,1.0,3.0,sup_200,500k_1millions,13.0,206.84440533564816,sup_15j,10_15
2205,177145.0,submitted / declined,declined,GB,London,london,1.0,3.0,100_200,500k_1millions,8.0,203.14425494212963,sup_15j,7_10
2206,177441.0,declined,declined,GB,London,london,1.0,3.0,100_200,1_5millions,12.0,206.83295006944445,sup_15j,10_15
2207,177336.0,declined / submitted / declined,declined,GB,London ,london,1.0,3.0,80_100,500k_1millions,14.0,206.01601148148148,sup_15j,10_15
2208,177505.0,submitted / declined,declined,GB,London,london,1.0,8.0,60_80,1_5millions,13.0,206.8513121875,sup_15j,10_15
2209,177420.0,declined / submitted / declined,declined,GB,London,london,1.0,3.0,20_40,500k_1millions,13.0,206.10097015046296,sup_15j,10_15
2210,177506.0,submitted / matched / booked,booked,GB,London,london,1.0,3.0,80_100,100k_200k,14.0,206.83228699074073,sup_15j,10_15
2211,177941.0,submitted / declined,declined,GB,London,london,1.0,3.0,80_100,100k_200k,14.0,208.12675346064816,sup_15j,10_15
2213,177753.0,submitted / declined,declined,GB,London,london,1.0,8.0,100_200,1_5millions,14.0,207.2042867476852,sup_15j,10_15
2214,155071.0,submitted / matched / declined,declined,FR,Paris,paris,1.0,8.0,sup_200,1_5millions,1.0,1.0069444444444445e-06,less_10s,inf_3
2215,151321.0,submitted / matched / declined,declined,US,New York,new york,1.0,8.0,sup_200,1_5millions,1.0,1.238425925925926e-06,less_10s,inf_3
2216,151323.0,submitted / matched / declined,declined,US,New York,new york,1.0,8.0,100_200,1_5millions,1.0,0.0038941550925925927,10s_1h,inf_3
2217,151324.0,submitted / declined,declined,US,New York,new york,1.0,8.0,100_200,1_5millions,1.0,0.004907106481481482,10s_1h,inf_3
2218,151107.0,submitted,submitted,GB,London,london,1.0,8.0,60_80,50k_100k,1.0,0.9117635532407408,1h_1j,inf_3
2219,151097.0,submitted,submitted,FR,Paris,paris,1.0,7.0,40_60,50k_100k,2.0,0.8897557407407407,1h_1j,inf_3
2220,151109.0,submitted,submitted,GB,London,london,1.0,3.0,40_60,50k_100k,1.0,0.9128522800925926,1h_1j,inf_3
2221,151102.0,submitted,submitted,FR,Paris,paris,1.0,8.0,60_80,50k_100k,1.0,0.9014857986111111,1h_1j,inf_3
2222,151099.0,submitted / declined,declined,FR,Paris,paris,1.0,3.0,20_40,10k_50k,2.0,0.8920196527777777,1h_1j,inf_3
2223,151088.0,submitted,submitted,FR,Paris,paris,1.0,3.0,40_60,100k_200k,1.0,0.8856698032407407,1h_1j,inf_3
2224,151105.0,submitted,submitted,FR,Paris,paris,1.0,3.0,40_60,50k_100k,3.0,0.9083162962962963,1h_1j,3_5
